Movie,Director,Genre,Gross (millions USD),Rating
Back to the Future,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",210.61,8.5
Titanic,James Cameron,"Drama, Romance",659.33,7.8
Guardians of the Galaxy,James Gunn,"Action, Adventure, Comedy",333.18,8
Léon: The Professional,Luc Besson,"Action, Crime, Drama",19.5,8.5
American History X,Tony Kaye,Drama,6.72,8.5
V for Vendetta,James McTeigue,"Action, Drama, Sci-Fi",70.51,8.2
Goodfellas,Henry Hill,"Biography, Crime, Drama",46.84,8.7
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Action, Adventure, Fantasy",305.41,8
WALL·E,Andrew Stanton,"Animation, Adventure, Family",223.81,8.4
Kill Bill: Vol. 1,Quentin Tarantino,"Action, Crime, Drama",70.1,8.1
Terminator 2: Judgment Day,James Cameron,"Action, Sci-Fi",204.84,8.5
The Usual Suspects,Bryan Singer,"Crime, Mystery, Thriller",23.34,8.5
Joker,Todd Phillips,"Crime, Drama, Thriller",335.45,8.4
Whiplash,Damien Chazelle,"Drama, Music",13.09,8.5
Braveheart,Mel Gibson,"Biography, Drama, History",75.6,8.3
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,"Action, Adventure, Fantasy",309.13,8.3
Finding Nemo,Andrew Stanton,"Animation, Adventure, Comedy",380.84,8.1
The Lion King,Roger Allers,"Animation, Adventure, Drama",422.78,8.5
Gran Torino,Clint Eastwood,Drama,148.1,8.1
The Hangover,Todd Phillips,Comedy,277.32,7.7
The Grand Budapest Hotel,Wes Anderson,"Adventure, Comedy, Crime",59.1,8.1
Star Wars: Episode III - Revenge of the Sith,George Lucas,"Action, Adventure, Fantasy",380.26,7.5
The Revenant,Alejandro G. Iñárritu,"Action, Adventure, Drama",183.64,8
Man of Steel,Zack Snyder,"Action, Adventure, Sci-Fi",291.05,7
Amélie,Jean-Pierre Jeunet,"Comedy, Romance",33.23,8.3
Black Swan,Darren Aronofsky,"Drama, Thriller",106.95,8
City of God,Fernando Meirelles,"Crime, Drama",7.56,8.6
Blade Runner,Ridley Scott,"Action, Sci-Fi, Thriller",32.87,8.1
12 Angry Men,Sidney Lumet,"Crime, Drama",4.36,9
Indiana Jones and the Last Crusade,Adolf Hitler,"Action, Adventure",197.17,8.2
"The Good, the Bad and the Ugly",Sergio Leone,Western,6.1,8.8
Spider-Man,Sam Raimi,"Action, Adventure, Sci-Fi",403.71,7.3
The Imitation Game,Alan Turing,"Biography, Drama, Thriller",91.13,8
L.A. Confidential,Curtis Hanson,"Crime, Drama, Mystery",64.62,8.2
I Am Legend,Francis Lawrence,"Action, Adventure, Drama",256.39,7.2
Kill Bill: Vol. 2,Quentin Tarantino,"Action, Crime, Thriller",66.21,8
Full Metal Jacket,Stanley Kubrick,"Drama, War",46.36,8.3
Captain America: Civil War,Anthony Russo,"Action, Adventure, Sci-Fi",408.08,7.8
How to Train Your Dragon,Dean DeBlois,"Animation, Action, Adventure",217.58,8.1
Harry Potter and the Sorcerer's Stone,Chris Columbus,"Adventure, Family, Fantasy",317.58,7.6
Silver Linings Playbook,David O. Russell,"Comedy, Drama, Romance",132.09,7.7
X-Men: Days of Future Past,Bryan Singer,"Action, Adventure, Sci-Fi",233.92,7.9
Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",10.06,8.6
The Incredibles,Brad Bird,"Animation, Action, Adventure",261.44,8
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Action, Adventure, Fantasy",423.32,7.3
Logan,James Mangold,"Action, Drama, Sci-Fi",226.28,8.1
